node_id	species	protocol	label	split	n_seeds_observed	mean_delta_probability	std_delta_probability	mean_baseline_probability	mean_esm2_probability	mean_baseline_pred_label	mean_esm2_pred_label	FN_persistent	FN_to_TP_rescued	FP_persistent	FP_to_TN_corrected	TN_stable	TN_to_FP_regressed	TP_stable	TP_to_FN_regressed	fn_to_tp_rescued_count	fn_to_tp_rescued_frequency	fn_to_tp_rescued_stable_ge2	fp_to_tn_corrected_count	fp_to_tn_corrected_frequency	fp_to_tn_corrected_stable_ge2	persistent_fn_count	persistent_fn_frequency	persistent_fn_stable_ge2	persistent_fp_count	persistent_fp_frequency	persistent_fp_stable_ge2	rescue_count	rescue_frequency	stable_rescued_ge2	confidence_tier	essential_neighbor_fraction_bio_input	essential_neighbor_fraction_bio_esm2_input	essential_neighbor_fraction_bio_hidden	essential_neighbor_fraction_bio_esm2_hidden	seed	k_neighbors
FGRAMPH1_01G00465	fgraminearum	fgraminearum_newlabel	1	test	5	-0.0765895009040832	0.0671125413623375	0.8473263859748841	0.7707368850708007	1.0	1.0	0	0	0	0	0	0	5	0	0	0.0	False	0	0.0	False	0	0.0	False	0	0.0	False	0	0.0	False	not_rescued	0.06666666666666667	0.3333333333333333	0.4	0.3333333333333333	1029	15
FGRAMPH1_01G00721	fgraminearum	fgraminearum_newlabel	1	test	5	-0.0130481362342834	0.0110291504903679	0.9515986561775208	0.9385505199432372	1.0	1.0	0	0	0	0	0	0	5	0	0	0.0	False	0	0.0	False	0	0.0	False	0	0.0	False	0	0.0	False	not_rescued	0.7333333333333333	0.13333333333333333	0.8666666666666667	0.5333333333333333	1029	15
FGRAMPH1_01G00771	fgraminearum	fgraminearum_newlabel	1	test	5	-0.3147983968257903	0.2021227042198823	0.9435593962669372	0.6287609994411468	1.0	0.8	0	0	0	0	0	0	4	1	0	0.0	False	0	0.0	False	0	0.0	False	0	0.0	False	0	0.0	False	not_rescued	0.4666666666666667	0.2	0.6666666666666666	0.06666666666666667	1029	15
FGRAMPH1_01G00787	fgraminearum	fgraminearum_newlabel	1	test	5	-0.1483360749582062	0.069477393965912	0.1644903942942619	0.0161543193360557	0.0	0.0	5	0	0	0	0	0	0	0	0	0.0	False	0	0.0	False	5	1.0	True	0	0.0	False	0	0.0	False	not_rescued	0.06666666666666667	0.13333333333333333	0.0	0.06666666666666667	1029	15
FGRAMPH1_01G00863	fgraminearum	fgraminearum_newlabel	1	test	5	-0.1181209921836852	0.0802905434829691	0.9370213270187376	0.8189003348350525	1.0	1.0	0	0	0	0	0	0	5	0	0	0.0	False	0	0.0	False	0	0.0	False	0	0.0	False	0	0.0	False	not_rescued	0.2	0.3333333333333333	0.9333333333333333	0.5333333333333333	1029	15
FGRAMPH1_01G00885	fgraminearum	fgraminearum_newlabel	1	test	5	-0.045812859307648	0.0216085154471008	0.0481356862932443	0.0023228269855962	0.0	0.0	5	0	0	0	0	0	0	0	0	0.0	False	0	0.0	False	5	1.0	True	0	0.0	False	0	0.0	False	not_rescued	0.06666666666666667	0.13333333333333333	0.06666666666666667	0.0	1029	15
FGRAMPH1_01G00927	fgraminearum	fgraminearum_newlabel	1	test	5	-0.121716171503067	0.1620446325661129	0.7038897156715394	0.5821735441684723	1.0	0.8	0	0	0	0	0	0	4	1	0	0.0	False	0	0.0	False	0	0.0	False	0	0.0	False	0	0.0	False	not_rescued	0.4666666666666667	0.3333333333333333	0.6	0.2	1029	15
FGRAMPH1_01G00931	fgraminearum	fgraminearum_newlabel	1	test	5	-0.0101589500904083	0.1103775111511098	0.5432549715042114	0.5330960214138031	0.8	0.6	0	1	0	0	0	0	2	2	1	0.2	False	0	0.0	False	0	0.0	False	0	0.0	False	1	0.2	False	seed_specific_rescued	0.2	0.2	0.26666666666666666	0.4	1029	15
FGRAMPH1_01G00945	fgraminearum	fgraminearum_newlabel	1	test	5	0.0738458156585693	0.0208487168500138	0.9057948112487793	0.9796406269073488	1.0	1.0	0	0	0	0	0	0	5	0	0	0.0	False	0	0.0	False	0	0.0	False	0	0.0	False	0	0.0	False	not_rescued	0.26666666666666666	0.3333333333333333	0.3333333333333333	0.6666666666666666	1029	15
FGRAMPH1_01G00979	fgraminearum	fgraminearum_newlabel	1	test	5	0.0638589739799499	0.0435585202638945	0.8165873885154724	0.8804463624954224	1.0	1.0	0	0	0	0	0	0	5	0	0	0.0	False	0	0.0	False	0	0.0	False	0	0.0	False	0	0.0	False	not_rescued	0.2	0.2	0.3333333333333333	0.26666666666666666	1029	15
