node_id	label	split	baseline_pred_label	baseline_pred_score	esm2_pred_label	esm2_pred_score	transition	protocol	species	seed	subset	delta_probability	transition_display
FGRAMPH1_01G00015	0	test	0	0.0329132229089736	0	1.874813733593328e-06	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	-0.03291134809524	TN_stable
FGRAMPH1_01G00021	0	test	0	0.0317086763679981	0	3.5039054637309164e-05	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	-0.03167363731336079	TN_stable
FGRAMPH1_01G00037	0	test	0	0.0020731328986585	0	2.248163582407869e-05	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	-0.0020506512628344215	TN_stable
FGRAMPH1_01G00041	0	test	1	0.550294816493988	0	6.7490133481840076e-09	FP_to_TN_corrected	fgraminearum_newlabel	fgraminearum	1029	test	-0.5502948097449747	FP_to_TN_corrected
FGRAMPH1_01G00047	0	test	0	0.0200176704674959	0	2.821393726287757e-12	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	-0.02001767046467451	TN_stable
FGRAMPH1_01G00055	0	test	0	0.0178865268826484	0	9.393989793288478e-23	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	-0.0178865268826484	TN_stable
FGRAMPH1_01G00057	0	test	0	0.1277165114879608	0	5.42360774347106e-12	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	-0.12771651148253718	TN_stable
FGRAMPH1_01G00071	0	test	0	0.1836521476507187	0	9.442509274482092e-12	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	-0.1836521476412762	TN_stable
FGRAMPH1_01G00083	0	test	0	0.0622920840978622	0	6.793852662667632e-06	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	-0.062285290245199534	TN_stable
FGRAMPH1_01G00101	0	test	0	0.0240681022405624	0	1.6591407780829633e-19	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	-0.0240681022405624	TN_stable
FGRAMPH1_01G00103	0	test	0	0.0041852816939353	0	4.235162474449514e-20	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	-0.0041852816939353	TN_stable
FGRAMPH1_01G00111	0	test	0	0.0406097657978534	0	2.87602066606496e-08	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	-0.04060973703764674	TN_stable
FGRAMPH1_01G00121	0	test	0	0.0337551273405551	0	9.639939671166052e-15	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	-0.03375512734054546	TN_stable
